,Commune,Année,Densité_km2
845,Vernier,2010,4336.0
846,Vernier,2011,4404.0
847,Vernier,2012,4465.0
848,Vernier,2013,4523.0
849,Vernier,2014,4574.0
850,Vernier,2015,4592.0
851,Vernier,2016,4605.0
852,Vernier,2017,4608.0
853,Vernier,2018,4562.0
854,Vernier,2019,4584.0
855,Vernier,2020,4573.0
856,Vernier,2021,4654.0
857,Vernier,2022,4821.0
858,Vernier,2023,4882.978100962884
859,Vernier,2024,4926.037184280733
860,Versoix,2005,1135.0
861,Versoix,2006,1164.0
862,Versoix,2007,1187.0
863,Versoix,2008,1214.0
864,Versoix,2009,1240.0
865,Versoix,2010,1251.0
866,Versoix,2011,1247.0
867,Versoix,2012,1240.0
868,Versoix,2013,1249.0
869,Versoix,2014,1261.0
870,Versoix,2015,1280.0
871,Versoix,2016,1265.0
872,Versoix,2017,1270.0
873,Versoix,2018,1281.0
874,Versoix,2019,1281.0
875,Versoix,2020,1274.0
876,Versoix,2021,1273.0
877,Versoix,2022,1281.0
878,Versoix,2023,1331.2147205022093
879,Versoix,2024,1326.4528993528954
880,Veyrier,2005,1475.0
881,Veyrier,2006,1491.0
882,Veyrier,2007,1490.0
883,Veyrier,2008,1501.0
884,Veyrier,2009,1506.0
885,Veyrier,2010,1542.0
886,Veyrier,2011,1583.0
887,Veyrier,2012,1585.0
888,Veyrier,2013,1671.0
889,Veyrier,2014,1702.0
890,Veyrier,2015,1739.0
891,Veyrier,2016,1779.0
892,Veyrier,2017,1781.0
893,Veyrier,2018,1793.0
894,Veyrier,2019,1836.0
895,Veyrier,2020,1829.0
896,Veyrier,2021,1823.0
897,Veyrier,2022,1836.0
898,Veyrier,2023,1835.3684682835485
899,Veyrier,2024,1858.7646446655597
